,Unnamed: 0,cl,RespID,Date Done,Resp Name,Husband,Father,Group,Location,Prev
479,479,216,1760,,,,,Control,Hai city,
480,480,218,1762,,,,,Cash,Hai city,
481,481,241,1763,,,,,Control,Hai city,
482,482,267,1765,,,,,Control,Hai city,
483,483,268,1766,,,,,TUP,Hai city,
484,484,272,1767,,,,,Control,Hai city,
485,485,284,1768,,,,,TUP,Hai city,
486,486,288,1770,,,,,TUP,Hai city,
487,487,178,1771,,,,,TUP,Hai city,
488,488,180,1773,,,,,Control,Hai city,
489,489,192,1778,,,,,Cash,Hai city,
490,490,203,1780,,,,,Control,Hai city,
491,491,365,1781,,,,,TUP,Hai Dam 2,city
492,492,220,1784,,,,,TUP,Hai city,
493,493,221,1785,,,,,Control,Hai city,
494,494,226,1786,,,,,TUP,Hai city,
495,495,230,1788,,,,,Control,Hai city,
496,496,231,1789,,,,,Cash,Hai city,
497,497,235,1791,,,,,Control,Hai city,
498,498,236,1792,,,,,Control,Hai city,
499,499,245,1794,,,,,TUP,Hai city,
500,500,250,1797,,,,,Control,Hai city,
501,501,253,1801,,,,,Cash,Hai city,
502,502,254,1802,,,,,Control,Hai city,
503,503,259,1805,,,,,Cash,Hai city,
504,504,260,1807,,,,,Cash,Hai city,
505,505,264,1809,,,,,TUP,Hai city,
506,506,271,1811,,,,,TUP,Hai city,
507,507,273,1812,,,,,TUP,Hai city,
508,508,454,1813,,,,,Control,Hai Sopiri,city
509,509,455,1814,,,,,Control,Hai Sopiri,city
510,510,285,1816,,,,,Control,Hai city,
511,511,290,1818,,,,,Control,Hai city,
512,512,186,1820,,,,,Control,Hai city,
513,513,431,1822,,,,,Control,Hi Dam 1,
514,514,549,1825,,,,,Control,Hi Dam 1,
515,515,550,1826,,,,,Control,Hi Dam 1,
516,516,554,1827,,,,,TUP,Hi Dam 1,
517,517,555,1828,,,,,TUP,Hi Dam 1,
518,518,556,1829,,,,,TUP,Hi Dam 1,
519,519,563,1835,,,,,TUP,Hi Dam 1,
520,520,564,1836,,,,,TUP,Hi Dam 1,
521,521,565,1837,,,,,TUP,Hi Dam 1,
522,522,566,1838,,,,,TUP,Hi Dam 1,
523,523,567,1839,,,,,Control,Hi Dam 1,
524,524,568,1840,,,,,TUP,Hi Dam 1,
525,525,569,1842,,,,,TUP,Hi Dam 1,
526,526,570,1843,,,,,Control,Hi Dam 1,
527,527,571,1844,,,,,Cash,Hi Dam 1,
528,528,573,1846,,,,,Control,Hi Dam 1,
529,529,437,1847,,,,,Control,hi peace,dam1
530,530,579,1848,,,,,Control,Hi Dam 1,
531,531,585,1852,,,,,Control,Hi Dam 1,
532,532,591,1857,,,,,Control,Hi Dam 1,
533,533,439,1858,,,,,Cash,hi peace,dam1
534,534,592,1859,,,,,Control,Hi Dam 1,
535,535,440,1861,,,,,TUP,hi peace,dam1
536,536,547,1863,,,,,TUP,Hi Dam 1,
537,537,424,1864,,,,,TUP,Hai Dam 2,dam1
538,538,548,1865,,,,,Control,Hi Dam 1,
